SERM,medium_only,cells_only,dmso_control,concentration_nM,plate_number,absorbance_550,absorbance_690,subtracted_abs
rkl04-24,no,no,no,3.125,3,0.017,-0.074,0.091
E2,no,no,no,100,3,-0.084,-0.087,0.003
E2,no,no,no,100,3,-0.085,-0.09,0.005
E2,no,no,no,100,3,0.042,0.04,0.002
E2,no,no,no,3.125,3,-0.094,-0.092,-0.002
E2,no,no,no,3.125,3,-0.065,-0.077,0.012
E2,no,no,no,3.125,3,-0.078,-0.08,0.002
4OHT,no,no,no,100,3,0.022,-0.079,0.101
4OHT,no,no,no,100,3,0.007,-0.084,0.091
4OHT,no,no,no,100,3,0.023,-0.078,0.101
4OHT,no,no,no,3.125,3,0.008,-0.083,0.091
4OHT,no,no,no,3.125,3,0.008,-0.081,0.089
4OHT,no,no,no,3.125,3,0.144,0.053,0.091
rkl04-24,no,no,yes,hi,3,0.102,0.026,0.076
rkl04-24,no,no,yes,hi,3,-0.011,-0.079,0.068
rkl04-24,no,no,yes,hi,3,0.017,-0.081,0.098
rkl04-24,no,no,yes,hi,3,0.023,-0.082,0.105
rkl04-24,no,no,yes,hi,3,0.008,-0.079,0.087
rkl04-24,no,no,yes,low,3,-0.001,-0.081,0.08
rkl04-24,no,no,yes,low,3,0.017,-0.085,0.102
rkl04-24,no,no,yes,low,3,0.019,-0.076,0.095
rkl04-24,no,no,yes,low,3,0.045,-0.072,0.117
rkl04-24,no,no,yes,low,3,0.022,-0.072,0.094
rkl04-24,no,yes,no,0,3,0.008,-0.076,0.084
rkl04-24,no,yes,no,0,3,0.108,0.018,0.09
rkl04-24,yes,no,no,0,3,0,0,0
rkl04-24,yes,no,no,0,3,-0.083,-0.08,-0.003
rkl04-24,yes,no,no,0,3,-0.061,-0.066,0.005
rkl04-24,yes,no,no,0,3,-0.058,-0.065,0.007
